1,9623,9727,9927,10045,10127,10231,6,1
2,10517,10605,10805,10920,11005,11092,19,1
3,11482,11572,11772,11896,11972,12061,20,1
4,12399,12458,12658,12752,12858,12917,15,1
5,13190,13305,13505,13642,13705,13819,11,1
6,14137,14164,14364,14441,14564,14591,14,1
7,14948,15085,15285,15455,15485,15622,18,1
8,15890,15983,16183,16322,16383,16476,2,1
9,16828,16971,17171,17302,17371,17513,5,1
10,17808,17907,18107,18222,18307,18406,12,1
11,18794,18866,19066,19173,19266,19338,13,1
12,19675,19760,19960,20075,20160,20244,8,1
13,20556,20631,20831,20926,21031,21105,16,1
14,21391,21473,21673,21812,21873,21955,7,1
15,23117,23226,23426,23565,23626,23734,4,1
16,23948,24051,24251,24387,24451,24553,4,1
17,24733,24828,25028,25155,25228,25323,4,1
18,26894,26994,27194,27328,27394,27494,17,1
19,27817,27897,28097,28211,28297,28377,9,1
20,28702,28787,28987,29100,29187,29272,10,1
21,30802,30889,31089,31209,31289,31375,1,1
22,31586,31680,31880,32001,32080,32174,1,1
23,32865,32951,33151,33271,33351,33436,3,1
24,33701,33794,33994,34112,34194,34287,12,2
25,34658,34761,34961,35086,35161,35263,17,2
26,35521,35575,35775,35879,35975,36029,7,2
27,36325,36364,36564,36635,36764,36802,15,2
28,37047,37100,37300,37389,37500,37552,2,2
29,37812,37891,38091,38205,38291,38369,1,2
30,38673,38748,38948,39038,39148,39223,9,2
31,39519,39595,39795,39909,39995,40070,6,2
32,40461,40546,40746,40878,40946,41031,20,2
33,41322,41427,41627,41767,41827,41932,19,2
34,42317,42413,42613,42738,42813,42908,18,2
35,43178,43314,43514,43692,43714,43850,3,2
36,44111,44186,44386,44493,44586,44661,11,2
37,44973,45050,45250,45336,45450,45526,13,2
38,45805,45900,46100,46211,46300,46394,4,2
39,46666,46740,46940,47063,47140,47213,16,2
40,47529,47584,47784,47888,47984,48038,10,2
41,48321,48350,48550,48604,48750,48778,14,2
42,49083,49172,49372,49485,49572,49660,8,2
43,49960,50038,50238,50326,50438,50516,5,2
44,50773,50839,51039,51131,51239,51305,12,3
45,51592,51605,51805,51863,52005,52017,14,3
46,52273,52324,52524,52617,52724,52775,3,3
47,53093,53159,53359,53451,53559,53625,13,3
48,53921,53998,54198,54321,54398,54475,4,3
49,54778,54787,54987,55062,55187,55196,15,3
50,55438,55496,55696,55812,55896,55954,2,3
51,57573,57663,57863,57996,58063,58153,20,3
52,58528,58648,58848,58971,59048,59167,18,3
53,59475,59560,59760,59862,59960,60044,8,3
54,60342,60460,60660,60772,60860,60978,9,3
55,61317,61401,61601,61709,61801,61884,10,3
56,62184,62253,62453,62559,62653,62722,11,3
57,63021,63091,63291,63401,63491,63560,5,3
58,63806,63874,64074,64179,64274,64341,1,3
59,64650,64742,64942,65072,65142,65234,6,3
60,65604,65682,65882,65980,66082,66160,17,3
61,66430,66509,66709,66835,66909,66988,7,3
62,67274,67340,67540,67624,67740,67805,19,3
63,68077,68143,68343,68444,68543,68609,16,3
64,68912,68989,69189,69290,69389,69465,8,4
65,69758,69830,70030,70156,70230,70301,1,4
66,70555,70606,70806,70913,71006,71056,16,4
67,71374,71469,71669,71813,71869,71964,10,4
68,72292,72363,72563,72684,72763,72834,13,4
69,73214,73292,73492,73588,73692,73769,20,4
70,74331,74390,74590,74693,74790,74848,3,4
71,75164,75208,75408,75494,75608,75651,6,4
72,75943,75975,76175,76248,76375,76406,15,4
73,76685,76778,76978,77106,77178,77270,11,4
74,77599,77674,77874,77970,78074,78149,5,4
75,78439,78524,78724,78852,78924,79009,12,4
76,79265,79341,79541,79650,79741,79816,4,4
77,80074,80116,80316,80401,80516,80557,2,4
78,80848,80900,81100,81183,81300,81351,19,4
79,81620,81686,81886,81995,82086,82151,7,4
80,82425,82473,82673,82759,82873,82921,9,4
81,83272,83382,83582,83765,83782,83892,18,4
