1,5942,6041,6241,6392,6441,6539,17,1
2,6805,6838,7038,7152,7238,7271,4,1
3,7606,7682,7882,8028,8082,8158,18,1
4,8463,8462,8662,8720,8862,8860,13,1
5,9167,9226,9426,9552,9626,9685,5,1
6,9973,9990,10190,10248,10390,10407,15,1
7,10690,10743,10943,11049,11143,11195,9,1
8,11458,11490,11690,11784,11890,11922,12,1
9,12196,12255,12455,12583,12655,12713,11,1
10,13032,13122,13322,13451,13522,13612,8,1
11,13998,14045,14245,14358,14445,14492,20,1
12,14781,14822,15022,15118,15222,15262,6,1
13,15577,15625,15825,15932,16025,16073,10,1
14,16326,16397,16597,16731,16797,16867,2,1
15,17126,17202,17402,17527,17602,17677,1,1
16,17958,17977,18177,18228,18377,18395,16,1
17,18650,18697,18897,19002,19097,19143,3,1
18,19436,19476,19676,19766,19876,19916,19,1
19,20196,20244,20444,20548,20644,20691,7,1
20,20971,20979,21179,21245,21379,21386,14,1
21,21650,21677,21877,21977,22077,22104,4,2
22,22409,22444,22644,22745,22844,22879,6,2
23,23245,23319,23519,23658,23719,23793,17,2
24,24174,24257,24457,24585,24657,24740,18,2
25,25011,25068,25268,25386,25468,25525,3,2
26,25802,25855,26055,26120,26255,26308,16,2
27,26614,26672,26872,26972,27072,27130,10,2
28,27429,27470,27670,27773,27870,27911,9,2
29,28194,28214,28414,28503,28614,28634,14,2
30,28938,28956,29156,29194,29356,29374,13,2
31,29690,29723,29923,30017,30123,30155,12,2
32,30463,30541,30741,30856,30941,31018,8,2
33,31279,31333,31533,31644,31733,31786,7,2
34,32104,32159,32359,32467,32559,32613,5,2
35,33016,33065,33265,33373,33465,33513,20,2
36,33818,33848,34048,34089,34248,34277,15,2
37,34517,34554,34754,34863,34954,34991,2,2
38,35216,35270,35470,35578,35670,35723,1,2
39,35985,36008,36208,36303,36408,36430,19,2
40,36683,36734,36934,37038,37134,37184,11,2
41,37440,37465,37665,37764,37865,37890,12,3
42,38170,38199,38399,38498,38599,38627,9,3
43,38873,38903,39103,39207,39303,39333,7,3
44,39575,39614,39814,39926,40014,40053,1,3
45,40305,40338,40538,40598,40738,40771,16,3
46,41027,41086,41286,41392,41486,41544,11,3
47,41834,41863,42063,42147,42263,42292,15,3
48,42600,42672,42872,42989,43072,43144,8,3
49,43532,43590,43790,43900,43990,44048,18,3
50,44307,44359,44559,44675,44759,44810,3,3
51,45120,45226,45426,45563,45626,45732,5,3
52,45976,46017,46217,46314,46417,46458,4,3
53,46867,46923,47123,47242,47323,47379,20,3
54,47675,47719,47919,48029,48119,48162,10,3
55,48473,48490,48690,48740,48890,48907,13,3
56,49210,49305,49505,49642,49705,49799,6,3
57,50077,50153,50353,50492,50553,50628,19,3
58,50870,50922,51122,51247,51322,51374,2,3
59,51643,51631,51831,51886,52031,52019,14,3
60,52373,52436,52636,52760,52836,52899,17,3
61,53182,53224,53424,53543,53624,53665,6,4
62,53930,54019,54219,54278,54419,54507,11,4
63,54927,54974,55174,55289,55374,55420,2,4
64,55712,55768,55968,56081,56168,56223,12,4
65,56478,56515,56715,56799,56915,56952,4,4
66,57243,57333,57533,57646,57733,57823,8,4
67,58128,58151,58351,58396,58551,58574,13,4
68,58977,59057,59257,59397,59457,59536,18,4
69,59847,59886,60086,60190,60286,60324,19,4
70,60750,60787,60987,61081,61187,61224,20,4
71,61531,61525,61725,61791,61925,61918,14,4
72,62218,62255,62455,62520,62655,62692,15,4
73,62995,63035,63235,63330,63435,63475,9,4
74,63787,63860,64060,64153,64260,64333,10,4
75,64599,64650,64850,64954,65050,65101,7,4
76,65430,65502,65702,65789,65902,65974,5,4
77,66358,66454,66654,66798,66854,66950,17,4
78,67226,67236,67436,67489,67636,67645,16,4
79,67902,67929,68129,68225,68329,68356,3,4
80,68597,68646,68846,68964,69046,69095,1,4
